"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"56230","5","1089.74358974359","85000","78","3","0"
"62031","9","1935.48387096774","240000","119","5","0"
"65440","477","1486.84210526316","96400","66","3","72.32704402515724"
"11009","16","734.5013477088949","65500","87","4","12.5"
"27193","12","2307.8362354892206","185050","75.5","3.5","0"
"21481","11","2631.57894736842","210000","98","4","27.272727272727273"
"38128","4","1474.0896358543419","98500","86","3.5","0"
"10248","3","2405.06329113924","190000","130","3","0"
"74260","3","3398.64864864865","503000","148","7","0"
"43200","16","1836.6161616161617","127050","79.5","3","31.25"
"14576","5","1447.15447154472","178000","110","6","0"
"31162","7","3056.25","340000","105","5","0"
"89450","6","1342.0689655172414","187000","139.5","5.5","0"
"33316","4","1130.3125","108425","102.5","3","0"
"33324","45","1343.43434343434","100000","81","3","33.333333333333336"
"53064","13","1042.85714285714","85000","82","3","0"
"17421","100","2652.643335815339","222550","79","3","16"
"59280","6","1541.3310836145483","163369.5","83.5","3","0"
"33474","22","2951.493710691824","316900","103","4","0"
"84009","12","3564.327607875995","302050","83","4","8.333333333333334"
"72019","3","1396.1038961039","107500","99","3","0"
"34193","6","1914.2857142857142","140250","65","3.5","0"
"29111","5","2009.90099009901","139000","71","4","0"
"79050","6","1022.3880597014926","101540","94.5","4","0"
"25147","8","2726.737451737452","325550","120","4","0"
"37154","35","2559.52380952381","234000","91","5","8.571428571428571"
"78192","9","2348.9932885906","281000","98","5","0"
"49362","7","1720.2380952381","185000","110","4","0"
"54548","5","826.086956521739","67500","88","3","0"
"02423","5","1518.88888888889","205050","101","4","0"
"93059","67","3333.33333333333","215000","58","3","47.76119402985075"
"08218","13","1000","86500","78","3","7.6923076923076925"
"42076","5","1893.93939393939","125000","66","2.5","20"
"26196","8","2941.2745098039213","322560","95","3.5","12.5"
"54305","22","2619.0530303030305","256450","104.5","4","18.181818181818183"
"71086","4","1158.3240637745644","157500","89.5","3.5","0"
"31475","7","2100","189000","85","4","28.571428571428573"
"31455","17","1527.77777777778","162000","109","4","0"
"58306","3","561.728395061728","45500","81","4","0"
"77451","3","1696.42857142857","179000","112","4","0"
"97102","8","151.89090909090908","9539.58","82.5","4","0"
"63019","41","2107.8431372549","182500","80","4","9.75609756097561"
"59632","21","1516.85393258427","145900","95","4","0"
"76051","16","1636.5040650406504","136000","85.5","4","6.25"
"40278","15","2815.28735632184","245000","90","4","6.666666666666667"
"33183","10","2548.4666427546626","201500","85.5","4","0"
"71130","6","1066.7043010752689","144940","122.5","5","0"
"78007","7","4679.31034482759","687000","154","6","0"
"62543","11","1949.36708860759","154000","87","5","0"
"86287","3","1028.57142857143","155000","158","4","0"
"27251","3","1814.43298969072","120000","63","4","0"
"65047","55","1687.5","150000","91","4","16.363636363636363"
"37025","5","2235.84905660377","210000","80","3","0"
"35041","9","1960","245000","120","4","0"
"66194","5","1616.875","129350","80","4","20"
"21715","3","287.671232876712","42000","72","4","0"
"52468","3","203.703703703704","33000","162","3","33.333333333333336"
"56173","34","1887.5","151500","94","4","5.882352941176471"
"58080","5","731.707317073171","87405","66","2","0"
"31565","8","522.6041666666666","37940","110","3.5","0"
"51210","10","2076.5170183274295","229000","99","5","20"
"70390","6","990.1960784313726","92500","92.5","4","0"
"60281","5","1428.57142857143","130000","140","4","0"
"02540","6","1436.8622448979593","170000","106","5","0"
"54134","3","1000","37000","63","2","0"
"03160","5","1678.40909090909","180000","88","4","0"
"88395","3","652.173913043478","60000","92","5","0"
"37089","3","1506.84931506849","155000","93","4","0"
"14035","11","1641.79104477612","178700","109","6","0"
"15127","3","400","24000","60","2","0"
"52197","7","965.909090909091","71500","88","3","14.285714285714286"
"44020","123","2990.29126213592","250000","88","4","13.821138211382113"
"47119","5","1602.5641025641","125000","80","3","0"
"80696","9","2353.125","275000","105","5","0"
"28406","8","1345.3673469387754","145000","109","5","0"
"91600","41","3246.75324675325","312000","89","5","21.951219512195124"
"93015","28","3202.0202020202023","295000","83","4","17.857142857142858"
"65287","9","1428.57142857143","120000","79","3","33.333333333333336"
"60286","20","1524.8447204968943","158000","88","4","5"
"83098","91","4571.42857142857","334980","68","3","58.24175824175824"
"45292","6","811.5079365079365","63750","89","4","0"
"59405","3","736.842105263158","70000","95","4","0"
"87120","4","1252.3443223443223","66950","56.5","2","0"
"40180","8","1997.6882923191647","202481","105.5","4","0"
"24016","3","1616.16161616162","170000","99","4","0"
"78202","4","3137.132183908046","377800","123.5","5","0"
"60401","5","2430.76923076923","175000","84","4","0"
"91226","67","3164.94845360825","265000","81","4","26.865671641791046"
"58266","4","835.087479496993","106000","100.5","4.5","0"
"56099","6","704.6455026455026","65000","87","3.5","0"
"74127","6","3400.0344827586205","394350","112.5","4.5","0"
"60044","7","1750","165000","83","3","0"
"35063","5","1486","94000","74","3.5","0"
"32155","8","1236.7529771659565","137757","116.5","4","12.5"
"54273","66","1704.34987226032","147000","83","4","18.181818181818183"
"31513","3","838.235294117647","114000","136","4","0"
"59639","9","1686.51685393258","174000","118","5","0"
"51078","3","1964.15384615385","219000","83","5","0"
"30225","13","3169.46564885496","245000","109","4","0"
"54186","6","2245.0531487144635","365500","167.5","4.5","0"
"30016","5","1366.66666666667","61000","60","3","20"
"54521","20","2426.5263157894738","144387.5","57","3","65"
"26271","22","2635.4166666666665","240050","90","4","9.090909090909092"
"62013","11","1689.18918918919","187500","93","5","0"
"31592","9","2250","230420","95","4","0"
"77292","7","3370.78651685393","300000","89","5","28.571428571428573"
"30034","33","2860.86956521739","245000","81","3","15.151515151515152"
"42165","27","1315.31531531532","110000","90","4","3.7037037037037037"
"78368","12","3211.5470022205773","416430","156","6","8.333333333333334"
"76673","6","2096.07554200542","252550","100.5","4.5","0"
"34295","16","3423.6343081982614","306875","86.5","4","12.5"
"18201","3","1350.42735042735","219900","134","5","0"
"38211","6","2630.7636231091674","215600","98.5","3.5","0"
"66069","32","2183.405172413793","140000","85","4","12.5"
"80566","3","796.46017699115","90000","113","4","0"
"50199","3","2166.66666666667","161000","112","3","0"
"83091","66","3439.1546618647462","251075","79","3","33.333333333333336"
"60382","74","2509.259259259259","165500","71","4","44.5945945945946"
"53083","6","860.054347826087","75000","90","4","0"
"10373","4","1479.105786090006","134000","95.5","2.5","0"
"06064","25","4149.48979591837","376450","94","4","16"
"16026","9","1965.6862745098","200000","95","4","0"
"18165","10","1014.8809523809524","67500","82","3","10"
"10262","3","890.243902439024","73000","82","4","0"
"11244","4","763.6388888888889","62485","107.5","3.5","0"
"18154","3","500","30000","60","2","0"
"14370","21","2248.54368932039","201220","93","5","0"
"59338","3","1904.54545454545","209500","110","4","0"
"60129","9","1840.97222222222","160000","85","4","0"
"32237","3","2500","175000","56","2","0"
"82126","7","1949.21875","190000","89","4","0"
"25453","10","2136.842105263158","203000","118","4","0"
"80168","6","1491.6344916344915","137000","88","4","0"
"77464","51","3575","270000","75","3","49.01960784313726"
"13043","41","3416.66666666667","265000","80","4","19.51219512195122"
"63128","4","1396.5701357466064","143258","101.5","4.5","0"
"2A189","13","6105.06666666667","457880","77","3","15.384615384615385"
"37204","11","2046.97986577181","230000","85","4","0"
"41230","11","2079.36507936508","191800","101","4","0"
"43016","7","768.75","52500","85","4","0"
"28372","3","3016.9014084507","428400","99","5","0"
"90009","29","1590.90909090909","129000","79","4","41.37931034482759"
"83037","10","2944.5333333333333","290000","88","4","10"
"49183","26","1673.3333333333335","172500","90.5","4.5","0"
"03126","18","1833.9536807278741","169520","90.5","4","22.22222222222222"
"48129","4","1064.3476547102878","80500","77","4","0"
"88216","3","1111.11111111111","90000","81","5","0"
"63443","7","2663.79310344828","250000","107","4","0"
"76575","154","2114.9007189318727","159750","78.5","4","11.03896103896104"
"59509","31","1825.94936708861","167000","94","5","0"
"76091","3","1987.17948717949","180000","98","5","0"
"32252","10","1307.6109076109076","105200","92.5","4","0"
"25564","4","1673.7195902688861","168000","61.5","2.5","75"
"38557","17","3753.39805825243","386600","103","4","11.764705882352942"
"69389","301","3896.49122807018","181700","55","2","94.01993355481727"
"19078","6","935.4770912147961","91000","81","4","0"
"83114","8","2671.955357142857","178785","72","3","0"
"24499","4","2013.7438423645322","222350","73","4","0"
"28397","4","1903.8265306122448","218500","95.5","4","0"
"91115","28","3030.043859649123","255000","81","4","28.571428571428573"
"76737","7","1515.15151515152","185000","99","5","0"
"26145","3","1216.21621621622","135000","111","5","0"
"33501","19","3201.5873015873","295400","93","4","0"
"53066","9","1600","128000","80","4","0"
"80570","23","1666.66666666667","145000","90","4","0"
"36129","6","1297.872340425532","87000","65","3","0"
"53229","10","1753.734827264239","177500","105","4","0"
"54504","3","1663.8202247191","148080","87","4","33.333333333333336"
"14195","3","1962.10526315789","186400","95","4","0"
"38475","10","2913.986013986014","268992.615","95","3","30"
"49246","76","2580.9822361546503","217000","90","4","27.63157894736842"
"03202","4","744.1365007541478","77500","81","2.5","0"
"01454","4","3292.3272357723577","282500","100","4","25"
"31517","19","2104.57516339869","198200","99","4","10.526315789473685"
"07280","7","2028.57142857143","203000","109","4","0"
"87157","5","1385.59322033898","147770","108","4","20"
"17216","6","1574.450980392157","171650","98","3.5","0"
"46268","11","2191.01123595506","170160","74","3","0"
"39579","5","1892.85714285714","265000","140","5","0"
"47154","3","1683.16831683168","147000","80","4","0"
"56159","10","1543.5807692307694","145000","98","4","0"
"11408","8","1190.4761904761904","140500","91","4","0"
"17207","22","6987.154150197628","554612.5","71","4","0"
"04110","4","1684.848484848485","137100","84.5","3.5","0"
"54044","3","197.368421052632","15000","76","3","0"
"77202","6","2549.7023809523807","251500","92.5","4","0"
"83035","46","4757.114055299539","266500","55.5","3","10.869565217391305"
"88428","13","1532.58426966292","136400","81","4","23.076923076923077"
"74147","6","5475.820512820513","354132.5","70","3.5","50"
"71582","3","1258.33333333333","151000","70","3","0"
"62230","8","2283.9833759590792","286000","104.5","5","12.5"
"63257","4","1434.848484848485","133050","72","3.5","25"
"09231","3","1886.79245283019","100000","60","3","0"
"56007","140","3648.7924094307073","274500","68","3","50.714285714285715"
"22118","46","2406.9923800986107","210000","91.5","4","4.3478260869565215"
"25271","17","3135.5","280000","100","5","23.529411764705884"
"03060","9","1591.33333333333","205840","90","4","0"
"62802","3","1344.53781512605","136000","89","3","0"
"71570","4","1666.6666666666667","19250","28.5","1","0"
"86029","8","973.5","105000","96","3.5","0"
"80807","5","2333.33333333333","62000","20","1","0"
"63196","4","1249.6153846153848","156300","115","4.5","0"
"27017","6","1883.3906071019474","192500","93.5","4","0"
"22361","5","1922.04724409449","240000","96","4","0"
"91103","145","3254.23728813559","227660","73","4","48.275862068965516"
"34123","85","3272.98850574713","265000","85","4","38.8235294117647"
"71070","15","1400","130000","87","4","13.333333333333334"
"51046","8","2522.9214402618654","296255","107.5","4","0"
"55279","5","476.190476190476","30000","91","3","0"
"09140","3","3249.53703703704","187050","60","4","0"
"69162","5","2208.69565217391","254000","115","5","0"
"83008","40","3666.666666666667","277861","79","3","32.5"
"62810","6","1125.7631257631258","151000","93","5","0"
"2A212","6","2647.349122807018","101235","73.5","3","50"
"59387","10","1404.4227886056972","108000","71.5","3.5","0"
"62050","5","732.142857142857","61500","68","4","0"
"27040","7","1516.66666666667","155000","90","4","0"
"56262","24","4184.622329547927","396444.5","97.5","4.5","8.333333333333334"
"74003","3","6507.17703349282","775650","106","5","33.333333333333336"
"71198","4","1319.5325427468285","155750","86.5","2","25"
"11253","6","1400","103750","90","3","16.666666666666668"
"31052","12","1869.316037735849","175000","95.5","4","0"
"80584","5","1932.03883495146","207270","113","5","0"
"21292","41","1942.02898550725","158500","79","4","26.829268292682926"
"01049","21","2840","315000","101","4","19.047619047619047"
"60054","3","1483.87096774194","220000","155","4","0"
"16292","60","1177.8176025487853","100700","83","4","6.666666666666667"
"41036","5","1470","160000","104","4","0"
"49215","24","1384.7037793667007","130000","93.5","4","16.666666666666668"
"80530","5","1720","179800","100","4","0"
"47309","5","531.25","72595","140","4","0"
"85162","15","1372.54901960784","126500","109","4","6.666666666666667"
"14698","3","2377.95275590551","210000","66","4","0"
"30286","7","2840.27777777778","205000","75","3","0"
"74189","21","2864.70588235294","135000","38","3","47.61904761904762"
"83006","4","3004.3181575860963","292500","100","3.5","0"
"89441","19","750","105000","105","4","5.2631578947368425"
"95369","15","3709.84939759036","277200","81","4","33.333333333333336"
"37160","3","1777.77777777778","195000","110","5","0"
"91390","24","2288.1944444444443","201000","89","4","8.333333333333334"
"66065","107","2054.79452054795","160000","74","3","19.626168224299064"
"91659","26","3085.3200371057515","274625","88.5","4","15.384615384615385"
"38344","59","1951.21951219512","190000","89","4","30.508474576271187"
"28156","8","1586.6261398176293","120350","77","4","0"
"52193","4","1676.308314213919","155250","111","5","0"
"91312","59","4391.30434782609","421000","100","4","22.033898305084747"
"81063","10","1984.035759897829","185250","93","4","0"
"89144","6","1618.409090909091","135000","94","4.5","0"
"84115","4","2895.334928229665","220250","89.5","3","0"
"56003","43","4819.27710843373","450000","98","4","25.58139534883721"
"45176","3","1438.35616438356","105000","73","4","0"
"15185","7","928.436464088398","64000","76","4","0"
"27313","6","1886.1329642579644","209575","108.5","4.5","0"
"88460","4","1347.381422924901","133675","107","5","25"
"19202","14","1891.6666666666665","158150","92","4","0"
"39042","3","2129.31034482759","227950","114","5","0"
"62900","4","1502.4644030668128","107500","80.5","4","0"
"37242","8","1832.4579831932774","165000","106.5","4","0"
"08067","8","1333.2061068702292","94500","85","4","0"
"02327","4","1536.5865800865802","122500","83","4","0"
"29059","5","2303.33333333333","185700","94","4","0"
"46034","4","1144.9498404012768","63000","48","3","0"
"30053","3","1774.64788732394","126000","72","3","0"
"14096","3","700","84000","120","6","0"
"87049","13","754.545454545455","65300","75","3","0"
"24329","7","1752.05479452055","127900","90","4","0"
"33039","237","3624.17582417582","234500","68","3","46.413502109704645"
"27207","4","710.45608927705","107500","120","4.5","0"
"06151","7","1935.48387096774","73650","43","3","71.42857142857143"
"84047","20","2722.032520325203","262500","88.5","4","0"
"30066","4","2195.8944281524928","225665","124","5","0"
"08032","4","1592.3879040667362","216450","148.5","4.5","0"
"73065","433","2983.33333333333","170000","65","3","83.37182448036951"
"70427","4","487.13617463617464","36750","90.5","4","0"
"27557","4","1850","134500","72.5","3","0"
"09049","3","990","75890","112","4","0"
"61288","3","1562.04379562044","214000","123","4","0"
"62038","26","2005.403873558751","176400","81.5","4","11.538461538461538"
"60656","4","2365.763214670982","181000","89","4","0"
"30276","37","3447.77777777778","257600","79","3","10.81081081081081"
"55404","3","1227.27272727273","135000","80","3","0"
"72378","11","1314.51612903226","163000","117","4","0"
"27057","4","1900.6238859180037","122500","75.5","4","0"
"85129","21","1898.73417721519","210000","102","4","0"
"44104","4","1973.3124018838305","168500","85.5","4.5","0"
"41103","3","1379.31034482759","120000","85","3","0"
"33239","3","1775","142000","110","4","0"
"05177","82","3406.628787878788","115635","30","2","95.1219512195122"
"17184","4","2154.320987654321","187500","85.5","4","0"
"02666","11","400","20000","60","3","18.181818181818183"
"35223","22","2223.639455782313","207500","97","4.5","9.090909090909092"
"72090","37","1503.31125827815","115000","75","3","0"
"55166","7","1335.10638297872","144700","99","5","0"
"83041","13","1894.13333333333","120000","58","3","30.76923076923077"
"91540","27","3153.15315315315","265000","72","4","25.925925925925927"
"32283","3","1528.57142857143","169500","140","4","0"
"03102","21","1178.08219178082","90000","83","4","0"
"05133","46","3472.598039215686","145400","41.5","2","91.30434782608695"
"39396","6","1873.9050972501677","163950","82","3","33.333333333333336"
"53069","8","908.1081081081081","84000","80.5","3","0"
"35260","5","1800","168000","80","4","0"
"31032","31","2728.82882882883","254900","92","4","22.580645161290324"
"18211","6","1262.9452600432458","149000","109","4","0"
"63113","1066","2215.0370098795925","122350","62","3","77.20450281425892"
"49353","130","2391.938898971567","212750","87.5","4","13.076923076923077"
"51284","3","765.625","167000","156","6","0"
"51075","8","2460.27397260274","227500","97.5","4.5","0"
"50408","5","2012.04819277108","167000","83","4","0"
"14399","4","2500.609756097561","190000","101.5","4.5","0"
"21245","5","2721.5","272150","100","5","20"
"37124","20","2339.131868131868","243250","92","4","5"
"38550","3","5376.34408602151","772500","174","5","0"
"69120","4","611.8012422360248","60000","110","3","0"
"69297","27","3605.76923076923","358000","88","4","25.925925925925927"
"43089","29","1694.44444444444","156500","90","4","31.03448275862069"
"30228","9","1785.71428571429","150000","84","3","11.11111111111111"
"84088","70","3431.5170731707317","305707.5","90","4","15.714285714285714"
"66228","14","1937.404092071611","152375","82.5","4","0"
"60086","12","3110.3603603603606","270425","101","4.5","16.666666666666668"
"14355","7","2276.92307692308","260500","101","5","0"
"17158","21","2761.90476190476","258450","95","4","0"
"33492","19","2083.33333333333","160000","94","4","0"
"87150","7","1130.65868263473","132000","90","4","0"
"24428","3","1793.10344827586","156000","70","3","0"
"71576","3","1076.92307692308","118000","110","4","0"
"85153","15","1927.81690140845","197410","105","4","0"
"46271","3","1078.94736842105","115000","109","4","0"
"52373","3","462.121212121212","37500","97","4","0"
"70324","4","1698.0687455705174","145350","91.5","4","0"
"95197","136","3949.754901960784","259460","71","3","52.205882352941174"
"72105","4","1096.875","46000","58.5","2.5","0"
"88196","83","3133.33333333333","185000","69","3","55.42168674698795"
"25207","5","1361.34453781513","162000","110","4","0"
"34308","4","2151.7330917874397","195925","91","4","0"
"33046","5","1501.98198198198","195000","106","4","0"
"04205","47","1675.92592592593","112000","56","3","48.93617021276596"
"02226","7","1541.35338345865","155500","93","5","14.285714285714286"
"43005","5","1524.39024390244","80000","82","4","0"
"40304","66","10973.76641651032","985044.25","97.5","4","27.272727272727273"
"02126","4","837.6667148153498","92000","104","5","0"
"44094","21","2872.34042553192","252000","81","3","23.80952380952381"
"76340","4","833.9927960862319","125900","174.5","5","0"
"41167","20","1625.886524822695","130000","73","4","5"
"10110","3","1783.43949044586","233000","125","5","0"
"14595","3","1783.58208955224","203300","89","5","0"
"79293","8","1923.1481481481483","203000","90.5","4","0"
"16067","3","1052.63157894737","80000","85","3","0"
"14659","10","1903.409090909091","180000","84","4","0"
"22183","32","1070.630081300813","110875","90.5","4","3.125"
"16012","3","1625","160000","100","3","0"
"50076","45","3246.57534246575","230000","83","4","2.2222222222222223"
"19003","3","1917.5","195000","120","2","0"
"88181","15","1483.05084745763","135000","86","5","6.666666666666667"
"12299","8","914.2391304347826","102125","107.5","3.5","0"
"09065","3","1634.61538461538","100000","42","2","0"
"80271","8","1014.1739980449657","67500","64","3","0"
"50597","15","1700","165000","88","4","0"
"07084","5","1625","130000","80","3","0"
"77227","4","1634.672619047619","147250","90","4","0"
"41018","345","1850","120000","67","3","55.36231884057971"
"33250","3","2068.96551724138","180000","140","5","0"
"50027","7","1689.18918918919","132772","94","4","0"
"55167","3","779.220779220779","60000","77","3","0"
"19011","12","917.2508591065291","85000","98","4","0"
"78416","3","2300","149000","80","3","66.66666666666667"
"47238","7","1960.43956043956","178400","91","4","0"
"02307","20","1825.8784425451092","169500","80.5","4","15"
"66140","37","2277.77777777778","173000","84","3","8.108108108108109"
"74021","5","4794.52054794521","415400","94","4","0"
"88506","3","500","80000","101","6","0"
"81116","5","1975.2380952381","246300","122","4","0"
"03054","3","1483.18181818182","132000","93","5","0"
"12295","3","1227.27272727273","77000","84","2","0"
"74124","5","5212.09150326797","725000","153","5","0"
"59497","17","1760.56338028169","171350","98","4","0"
"56128","28","1245.656490444279","98500","82","3","0"
"27365","6","1904.9235993208829","120000","60.5","3.5","0"
"60159","259","2565.75342465753","147000","68","3","69.88416988416988"
"22243","7","1116","135000","104","4","0"
"02037","9","1347.19101123596","148900","89","4","0"
"76648","8","1817.5153077666773","162750","89","4","0"
"15196","11","1287.74509803922","131350","84","4","0"
"09168","3","442.708333333333","85000","100","4","0"
"32096","39","1506.41025641026","44070","27","1","76.92307692307692"
"39535","4","1723.0647935779816","172500","95.5","5","0"
"72173","6","1416.2763466042154","130000","97","5","0"
"78073","93","3588.23529411765","247000","69","4","61.29032258064516"
"46309","44","1345.6140350877192","73500","61","3","29.545454545454547"
"52442","3","1554.40414507772","225000","162","5","0"
"54536","19","1178.78787878788","102500","75","3","15.789473684210526"
"59276","18","1558.8617886178863","142675","89.5","4.5","0"
"62438","4","2008.9955022488757","207000","103.5","4.5","0"
"38053","208","2573.487804878049","159250","69.5","3","65.38461538461539"
"21606","11","1941.74757281553","200000","84","3","18.181818181818183"
"06153","23","2647.05882352941","89000","40","2","60.869565217391305"
"42323","51","2553.1914893617","230000","82","4","23.529411764705884"
"01227","6","1576.923076923077","156000","95.5","5","0"
"66138","11","2186.4406779661","140000","65","4","18.181818181818183"
"47095","7","1118.42105263158","88000","93","4","0"
"26125","6","2227.5401069518716","293875","118.5","5.5","0"
"12301","17","1500","139500","75","4","0"
"09238","5","1836.73469387755","180000","112","5","0"
"58185","10","973.9130434782609","78000","92.5","4","0"
"60633","6","1698.8095238095239","136000","81","4","0"
"62588","18","2241.152597402597","156350","73.5","4","11.11111111111111"
"24295","9","1708.33333333333","116000","67","3","22.22222222222222"
"22258","25","2046.95652173913","170000","90","4","4"
"43157","207","1540","102000","67","3","77.29468599033817"
"63300","149","2164.6835443038","180000","83","4","36.241610738255034"
"01175","4","2571.35347985348","266150","106","4.5","0"
"11425","18","1831.0056858564321","139300","96.5","4","5.555555555555555"
"51194","4","2118.8596491228072","282500","134","5.5","0"
"72001","5","2244.09448818898","222000","82","4","20"
"77501","9","2274.1935483871","228000","98","4","0"
"37158","4","1378.5767055496642","232500","130.5","6","0"
"29162","34","1470.3389830508474","105000","84","4","2.9411764705882355"
"46172","3","1586.15942028986","122000","108","2","0"
"50094","5","1820.65217391304","167500","92","4","0"
"64399","13","2621.17647058824","285000","126","5","0"
"59379","4","963.9423076923076","87500","99","4","0"
"70321","13","1860.21505376344","173000","105","5","0"
"12254","10","1741.0217083529967","226100","132","5","0"
"17185","24","2513.1920278392913","199075","77.5","4","4.166666666666667"
"29285","9","1107.69230769231","140000","74","4","0"
"40019","23","2895.83333333333","200000","74","3","26.08695652173913"
"41241","6","1434.673291177356","177150","110.5","5","0"
"63419","6","576.3414634146341","46000","81","3.5","0"
"70085","3","1655.1724137931","96000","58","3","0"
"74005","32","4212.191524408505","428700","100","4.5","9.375"
"23211","3","1156.86274509804","110000","102","5","0"
"34077","33","4084.50704225352","405000","90","4","12.121212121212121"
"77479","69","4129.41176470588","303000","73","4","27.536231884057973"
"78029","73","2975","242000","80","4","36.986301369863014"
"59516","9","1640","180500","100","3","0"
"72135","3","470.588235294118","40000","107","6","0"
"46028","8","2103.012048192771","177530","80.5","4","0"
"22194","43","2473.11827956989","197000","88","4","9.30232558139535"
"22244","5","1080","90000","80","3","0"
"64037","4","1985.965079734606","289300","131.5","5","0"
"34187","5","1111.11111111111","102000","115","4","20"
"14377","4","2068.755047473535","205085","99","4.5","0"
"31430","3","614.525","49162","84","3","0"
"24040","6","1511.3863863863864","185000","91","3.5","33.333333333333336"
"41060","7","812.5","60000","89","3","0"
"46138","15","787.878787878788","101000","81","4","0"
"29018","3","833.333333333333","75000","90","4","0"
"14369","3","2360.29411764706","198700","68","3","0"
"52326","3","394.229508196721","24048","101","4","0"
"08180","8","1835.8990147783252","175000","96","4.5","12.5"
"27447","10","1669.4715168153741","179950","101.5","4","0"
"83133","10","5314.311027725662","578540","106","4","30"
"97107","48","1169.3548387096776","70000","83.5","4","0"
"35106","6","1771.5418636571603","154000","99","4","0"
"85295","18","1941.4270999157225","221000","111","4.5","0"
"27285","4","3332.722431077694","425415","126.5","4.5","0"
"42267","11","1486.48648648649","140000","92","4","0"
"50643","5","3019.48051948052","232500","77","3","0"
"43158","5","1783.33333333333","243018","95","3","0"
"38193","115","2591.53846153846","190200","84","4","41.73913043478261"
"32118","3","1636.36363636364","300000","177","5","0"
"38421","180","2396.875","136375","65","3","83.88888888888889"
"55150","4","637.037037037037","71000","132.5","4","0"
"42212","12","1903.77024291498","200150","100.5","4","8.333333333333334"
"30156","67","2500","211270","85","4","22.388059701492537"
"44109","2629","3675.20289855072","182500","57","3","74.17268923545075"
"87192","10","1656.722334682861","156000","85","4","0"
"42094","65","1893.6170212766","160000","80","3","53.84615384615385"
"15101","27","2318.18181818182","70400","33","1","70.37037037037037"
"58109","14","410.62801932367154","27500","80","3.5","7.142857142857143"
"22005","12","1529.3807641633728","108250","73.5","3","16.666666666666668"
"82165","3","1722.22222222222","155000","90","4","0"
"31107","38","2323.4553775743707","202500","91","4","18.42105263157895"
"70056","3","750","54000","80","3","0"
"07090","7","2116.66666666667","150500","60","3","28.571428571428573"
"55268","3","1333.33333333333","50000","109","4","0"
"18030","7","1096.38554216867","80000","82","4","0"
"18218","4","1148.9157245632064","144000","132.5","5","0"
"49241","10","2372.5494929985516","237500","111.5","5","0"
"62271","3","1674.16666666667","163000","99","5","0"
"21059","5","3105.45454545455","240000","101","4","20"
"28330","7","1066.66666666667","120000","90","4","0"
"83085","38","3944.2786069651743","285000","76","3","21.05263157894737"
"49292","23","1687.5","175000","90","4","8.695652173913043"
"88201","3","1605","160500","93","3","0"
"23011","3","263.157894736842","10000","44","2","0"
"76288","3","1445.78313253012","136000","92","4","0"
"34089","14","2199.165425392097","219750","95","4","0"
"94001","33","4189.47368421053","250000","63","3","48.484848484848484"
"42241","4","1078.3216783216783","104000","99","4","25"
"60260","3","2237.76223776224","250540","127","5","0"
"42034","4","1073.8762626262626","103525","100.5","3.5","0"
"01241","7","2049.18032786885","150000","97","4","0"
"59221","19","2137.93103448276","85000","57","2","42.10526315789474"
"33334","15","2780.48780487805","235500","98","4","6.666666666666667"
"62236","4","1480.546231309124","127000","96.5","3.5","0"
"08284","8","1019.5924764890283","77500","96.5","2.5","0"
"11222","5","785.714285714286","55000","75","4","0"
"62361","25","870.967741935484","65000","80","3","0"
"80315","3","2528.73563218391","237000","93","3","0"
"66174","29","2000","157000","89","4","0"
"40212","7","2423.15053763441","225353","93","4","0"
"07339","11","2478.87323943662","272600","90","4","0"
"39104","7","1187.5","80000","64","2","0"
"25523","4","1419.7530864197531","115000","88.5","5","0"
"46273","5","1871.05263157895","180500","93","3","20"
"27109","3","2500","220000","88","5","0"
"71220","3","1250","70000","56","3","0"
"78516","9","2883.38028169014","289000","85","4","0"
"60102","16","2423.536953242836","237000","100","5","0"
"12270","31","1481.58333333333","120000","96","4","9.67741935483871"
"55215","6","609.2700729927008","54750","99","4.5","0"
"13047","271","3018.98734177215","225410","78","4","38.37638376383764"
"78165","78","3673.231792717087","322375","85","4","32.05128205128205"
"22271","4","1483.4737827715358","150500","95.5","3.5","0"
"07296","7","2175","174000","83","4","0"
"42085","5","3252.27272727273","286200","60","3","20"
"69294","18","3774.07215007215","324000","79.5","4","38.888888888888886"
"56062","17","3839.08045977011","310000","93","4","5.882352941176471"
"14181","38","2396.520985794232","199125","82","4","13.157894736842104"
"64042","6","1624.2845758168514","190000","113.5","5.5","16.666666666666668"
"80136","6","1352.8481012658228","90000","66","3.5","0"
"79195","38","1250","128500","103.5","4","2.6315789473684212"
"34185","4","3269.6875","299190","94.5","4","0"
"80834","3","1780.70175438596","105200","70","3","0"
"72314","4","612.9032258064516","42500","66","3","0"
"72006","17","1680","145000","82","4","0"
"66141","89","2545.97701149425","230000","87","4","5.617977528089888"
"61211","12","1294.51193967323","90000","60","3","0"
"51222","4","538.0690737833595","63500","122","4","0"
"62139","39","1517.24137931034","140000","92","4","0"
"36202","15","1285.71428571429","128000","100","4","6.666666666666667"
"35092","3","1750","140000","84","3","0"
"58195","3","406.976744186047","35000","88","5","0"
"45087","22","1208.4859584859587","81600","71.5","3","13.636363636363637"
"33494","8","3233.1","379832.5","115","4.5","0"
"51145","5","3236.64122137405","295000","92","4","0"
"85137","4","1534.9158279148483","162500","106","4","0"
